Budget-Cleaned,Rating-Cleaned,Runtime-Cleaned,Num-of-Ratings-Cleaned,Gross-in-US-&-Canada-Cleaned,Gross-worldwide-Cleaned,Action,Adventure,Biography,Drama,Crime,Animation,Comedy,Family,Horror,Mystery,Thriller,History,Fantasy,Sci-Fi,Romance,Music,Sport,Musical,Documentary,War,Western,Film-Noir,Release-Year
2.5E7,9.3,142.0,2800000.0,2.8767189E7,2.8884716E7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0
1.3E7,6.7,118.0,56000.0,5.3607898E7,1.06226238E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,6.5,108.8,99857.5,4.68098964E7,8.71224586E7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0
3.2E7,5.0,83.0,716.0,4.68098964E7,8.71224586E7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.65E8,8.0,155.0,729000.0,1.0832783E8,4.0202783E8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0
3.50057874E7,5.9,94.0,1700.0,4.68098964E7,170930.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.03E8,8.5,155.0,1600000.0,1.87705427E8,5.03162313E8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
2.04E7,6.5,130.0,99857.5,4.68098964E7,8.71224586E7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.5E7,6.5,122.0,111000.0,1.08161389E8,1.68961389E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.85E8,7.8,176.0,746000.0,3.69345583E8,7.72245583E8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0
1.5E8,7.3,134.0,202000.0,9.3277026E7,2.08177026E8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.0E8,7.0,101.0,99000.0,1.54426697E8,4.95923852E8,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.5E8,7.9,150.0,347000.0,3.58995815E8,8.45555777E8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2.947E8,6.6,154.0,143000.0,1.74480468E8,3.83963057E8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
2777000.0,8.1,102.0,420000.0,2.4668669E7,2.5637669E7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1939.0
6.0E7,7.2,134.0,60000.0,4.4428554E7,1.21680477E8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.3E8,7.0,124.0,633000.0,1.26477084E8,4.03354469E8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
3.50057874E7,7.6,124.0,6600.0,4.68098964E7,8.332927E7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.0E8,7.1,92.0,206000.0,5.7493433E8,1.361976691E9,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.0E8,4.8,103.0,26000.0,1.6710153E7,3.7962629E7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.0E8,8.2,180.0,1500000.0,1.16900694E8,4.06878233E8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
7.5E7,7.1,124.0,205000.0,1.29360575E8,2.04334455E8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0
3.50057874E7,5.1,96.0,6300.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,5.6,101.0,1100.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,7.2,113.0,3200.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
7.0E7,7.6,127.0,281000.0,3.8634938E7,1.3751514E8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0
