:Budget-Cleaned,:Rating-Cleaned,:Runtime-Cleaned,:Num-of-Ratings-Cleaned,:Gross-in-US-&-Canada-Cleaned,:Gross-worldwide-Cleaned,:Action,:Adventure,:Biography,:Drama,:Crime,:Animation,:Comedy,:Family,:Horror,:Mystery,:Thriller,:History,:Fantasy,:Sci-Fi,:Romance,:Music,:Sport,:Musical,:Documentary,:War,:Western,:Film-Noir,:Release-Year
2.45E8,7.8,138,962000,9.36662225E8,2.071310218E9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
1.8E8,8.4,98,1200000,2.23808164E8,5.2131189E8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
,6.0,108,1400,1.7265487E7,1.7265487E7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
2.25E7,7.5,116,298000,1.0663357E7,3.0311857E7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
1.5E7,8.1,115,541000,5.451374E7,1.62729321E8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
5.88E7,7.3,133,518000,3.5015902E8,5.4765902E8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
2.1E7,6.8,105,187000,1.26808165E8,2.27927165E8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1993
2.7E7,7.3,102,153000,2.0192381E7,2.0284984E7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
4.0E7,7.7,112,183000,7.5505856E7,7.5505856E7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
1.75E8,8.3,96,1100000,2.93004164E8,7.35099102E8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
,6.3,91,618,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
2.2E7,5.5,167,70000,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022
2.6E8,6.8,118,262000,5.43638043E8,1.663075401E9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
6000000.0,6.9,95,175000,2.8714231E7,5.7615777E7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1.8E7,8.4,160,420000,5.1973029E7,5.2066791E7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1984
1.6E7,6.8,131,53000,7834907.0,1.5134907E7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022
2.0E8,7.3,134,822000,7.00426566E8,1.349926083E9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
9600000.0,7.8,121,527000,2.3637265E7,8.0577265E7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2007
2.6E8,7.7,100,483000,2.00821936E8,5.92462816E8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
,,,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
,6.8,112,335,,1940066.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
3500000.0,7.7,88,255000,8.3453539E7,8.3454304E7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980
6.0E7,7.5,123,342000,1.05264608E8,2.23664608E8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1994
5100000.0,7.4,97,297000,68372.0,4942449.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
6.0E7,6.6,96,193000,2.6673242E7,2.6673829E7,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1997
1500000.0,6.8,103,333000,5.400915E7,1.00106454E8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2010
,,116,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024
,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2025
,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
3.7E7,7.5,125,409000,9.2186262E7,1.54026136E8,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
4.0E7,6.5,117,141000,4.6306208E7,1.28006208E8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014
3.75E7,7.0,126,62000,1.08252517E8,1.2585618E8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
,6.2,95,1400,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023
1.5E7,6.2,94,57000,6.4003625E7,7.6196538E7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
1.7E7,6.8,103,111000,8.1057016E7,1.82057016E8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1995
1.5E8,6.1,128,192000,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
